accident_id,easting,northing,has_coords,accident_date,year,month,weekday,hour,time_24h,num_vehicles,vehicles_bin,num_casualties,road_class,road_surface,lighting_conditions,weather_conditions,severity,casualty_severity
3851109,430425,433460,True,2016-08-05,2016,8,Friday,9,957,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3851185,435605,435727,True,2016-08-05,2016,8,Friday,16,1630,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Serious,Serious
3851228,431822,435634,True,2016-08-05,2016,8,Friday,16,1650,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3851233,429700,431103,True,2016-08-05,2016,8,Friday,3,330,1,1,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
3851308,438568,432672,True,2016-08-05,2016,8,Friday,17,1730,2,2,1,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3851490,440572,429187,True,2016-08-05,2016,8,Friday,18,1820,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3861298,430720,439031,True,2016-08-06,2016,8,Saturday,17,1700,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3870529,423240,434951,True,2016-08-07,2016,8,Sunday,8,830,2,2,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3870529,423240,434951,True,2016-08-07,2016,8,Sunday,8,830,2,2,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3870640,442045,430591,True,2016-08-06,2016,8,Saturday,12,1230,2,2,1,Unclassified,Dry,Daylight: street lights present,Unknown,Slight,Slight
3871471,430351,439452,True,2016-08-07,2016,8,Sunday,18,1848,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3880380,445343,431781,True,2016-08-08,2016,8,Monday,9,930,1,1,1,A(M),Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3880515,428509,433053,True,2016-08-08,2016,8,Monday,10,1040,2,2,1,B,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3880870,429134,432075,True,2016-08-08,2016,8,Monday,12,1215,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3881236,430496,435239,True,2016-07-28,2016,7,Thursday,15,1500,2,2,1,A,Dry,Daylight: street lights present,Unknown,Slight,Slight
3890800,429137,433091,True,2016-08-09,2016,8,Tuesday,14,1428,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3890982,429380,433768,True,2016-08-09,2016,8,Tuesday,15,1550,2,2,2,A(M),Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
3890982,429380,433768,True,2016-08-09,2016,8,Tuesday,15,1550,2,2,2,A(M),Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
3891025,430102,431644,True,2016-08-09,2016,8,Tuesday,10,1025,1,1,1,A,Dry,Daylight: street lights present,Fine without high winds,Serious,Serious
3891038,429963,436582,True,2016-08-09,2016,8,Tuesday,19,1900,2,2,1,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
38A0196,430122,431822,True,2016-08-10,2016,8,Wednesday,5,545,2,2,1,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38A0787,430762,433502,True,2016-08-10,2016,8,Wednesday,13,1315,1,1,2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
38A0787,430762,433502,True,2016-08-10,2016,8,Wednesday,13,1315,1,1,2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
38A1247,432513,435914,True,2016-08-10,2016,8,Wednesday,16,1645,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Serious,Serious
38A1262,430864,434191,True,2016-08-10,2016,8,Wednesday,18,1810,3,3+,2,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38A1262,430864,434191,True,2016-08-10,2016,8,Wednesday,18,1810,3,3+,2,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38B0193,424459,427708,True,2016-08-11,2016,8,Thursday,7,710,1,1,1,Motorway,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38B0479,427004,433446,True,2016-08-11,2016,8,Thursday,11,1144,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38B0760,433025,437640,True,2016-08-11,2016,8,Thursday,14,1452,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38B0807,426867,437530,True,2016-08-11,2016,8,Thursday,15,1515,1,1,1,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38B1030,428903,435392,True,2016-08-11,2016,8,Thursday,17,1704,2,2,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38B1030,428903,435392,True,2016-08-11,2016,8,Thursday,17,1704,2,2,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38B1218,431413,435049,True,2016-08-11,2016,8,Thursday,18,1850,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38B1319,429551,430902,True,2016-08-11,2016,8,Thursday,19,1944,2,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38B1319,429551,430902,True,2016-08-11,2016,8,Thursday,19,1944,2,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38C0444,423765,442118,True,2016-08-12,2016,8,Friday,10,1020,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38C1358,431367,435283,True,2016-08-12,2016,8,Friday,18,1823,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38C1512,431870,430503,True,2016-08-12,2016,8,Friday,19,1925,2,2,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38C1512,431870,430503,True,2016-08-12,2016,8,Friday,19,1925,2,2,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38C1793,442057,434628,True,2016-08-12,2016,8,Friday,21,2150,2,2,1,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38C2006,428405,434382,True,2016-08-12,2016,8,Friday,22,2255,2,2,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38D0270,432406,426222,True,2016-08-13,2016,8,Saturday,4,446,2,2,6,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38D0270,432406,426222,True,2016-08-13,2016,8,Saturday,4,446,2,2,6,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Serious,Serious
38D0270,432406,426222,True,2016-08-13,2016,8,Saturday,4,446,2,2,6,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Serious,Serious
38D0270,432406,426222,True,2016-08-13,2016,8,Saturday,4,446,2,2,6,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38D0270,432406,426222,True,2016-08-13,2016,8,Saturday,4,446,2,2,6,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38D0270,432406,426222,True,2016-08-13,2016,8,Saturday,4,446,2,2,6,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38D0691,443604,435908,True,2016-08-13,2016,8,Saturday,12,1210,2,2,1,Motorway,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38D1104,429630,426920,True,2016-08-01,2016,8,Monday,7,750,2,2,1,A,Dry,Daylight: street lights present,Unknown,Slight,Slight
38E0762,426726,436139,True,2016-08-14,2016,8,Sunday,13,1300,2,2,1,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Serious,Serious
38F0312,429643,434626,True,2016-08-15,2016,8,Monday,8,850,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38F0985,429962,434416,True,2016-08-15,2016,8,Monday,15,1522,2,2,2,A(M),Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38F0985,429962,434416,True,2016-08-15,2016,8,Monday,15,1522,2,2,2,A(M),Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38F1198,440448,448222,True,2016-08-15,2016,8,Monday,17,1700,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
