index,Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
220,3220231,432173,425966,2,Leeds 2016,02/02/2016,810,Motorway,Dry,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Male,31,Car
221,3220493,430785,424533,2,Leeds 2016,02/02/2016,1126,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,73,Car
222,3221429,427896,436200,2,Leeds 2016,02/02/2016,1800,A,Wet / Damp,Darkness: street lights present and lit,Unknown,Driver or rider,Slight,Male,41,Pedal cycle
223,3221533,431966,435835,2,Leeds 2016,02/02/2016,2205,Unclassified,Wet / Damp,Darkness: street lights present and lit,Other,Driver or rider,Slight,Male,24,Motorcycle over 125cc and up to 500cc
224,3230659,429466,427604,2,Leeds 2016,03/02/2016,1306,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,28,Car
225,3230659,429466,427604,2,Leeds 2016,03/02/2016,1306,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,48,Car
226,3230661,429373,433781,3,Leeds 2016,03/02/2016,1319,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,47,Car
227,3230666,439049,426668,1,Leeds 2016,03/02/2016,1321,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,24,Car
228,3230777,426013,433936,1,Leeds 2016,03/02/2016,1215,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,86,Car
229,3230848,420428,440372,3,Leeds 2016,03/02/2016,1507,A,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Female,80,Car
230,3230848,420428,440372,3,Leeds 2016,03/02/2016,1507,A,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Serious,Female,83,Car
231,3230848,420428,440372,3,Leeds 2016,03/02/2016,1507,A,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,42,Car
232,3230884,422305,443629,2,Leeds 2016,03/02/2016,920,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,24,Pedal cycle
233,3230901,419911,445189,1,Leeds 2016,03/02/2016,1145,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,86,Car
234,3231158,431027,430577,3,Leeds 2016,03/02/2016,1747,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,41,Car
235,3231217,432844,434994,2,Leeds 2016,03/02/2016,1513,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,77,Bus or coach (17 or more passenger seats)
236,3231235,429109,433552,2,Leeds 2016,03/02/2016,1620,A,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Female,32,Car
237,3231343,429464,433392,3,Leeds 2016,02/02/2016,645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,36,Taxi/Private hire car
238,3240129,429514,433793,1,Leeds 2016,04/02/2016,400,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Serious,Male,20,Taxi/Private hire car
239,3240129,429514,433793,1,Leeds 2016,04/02/2016,400,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Female,19,Taxi/Private hire car
240,3240312,431583,429064,2,Leeds 2016,03/02/2016,845,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,30,Car
241,3241275,432823,435217,2,Leeds 2016,04/02/2016,1804,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,8,Car
242,3241773,429146,433505,3,Leeds 2016,04/02/2016,2305,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,31,Car
243,3241773,429146,433505,3,Leeds 2016,04/02/2016,2305,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,23,Car
244,3250020,429937,433040,1,Leeds 2016,05/02/2016,5,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,22,Car
245,3250482,445958,431183,2,Leeds 2016,09/01/2016,1855,B,Wet / Damp,Darkness: no street lighting,Fine with high winds,Driver or rider,Slight,Male,29,Car
246,3250482,445958,431183,2,Leeds 2016,09/01/2016,1855,B,Wet / Damp,Darkness: no street lighting,Fine with high winds,Vehicle or pillion passenger,Slight,Female,29,Car
