index,Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1271,3770136,428641,432959,1,Leeds 2016,07/07/2016,215,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,45,Car
1272,3770315,427396,429670,2,Leeds 2016,07/07/2016,807,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,31,Pedal cycle
1273,3770326,426821,434978,2,Leeds 2016,07/07/2016,800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,42,Pedal cycle
1274,3770535,432973,439646,3,Leeds 2016,07/07/2016,1050,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,37,Pedal cycle
1275,3770535,432973,439646,3,Leeds 2016,07/07/2016,1050,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,64,Pedal cycle
1276,3770746,427528,434564,2,Leeds 2016,07/07/2016,1300,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,19,Motorcycle over 50cc and up to 125cc
1277,3771168,423187,434658,2,Leeds 2016,07/07/2016,1656,Unclassified,Dry,Daylight: street lights present,Other,Driver or rider,Slight,Male,42,Car
1278,3771267,417884,443315,3,Leeds 2016,07/07/2016,1735,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,45,Car
1279,3771267,417884,443315,3,Leeds 2016,07/07/2016,1735,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,13,Car
1280,3771267,417884,443315,3,Leeds 2016,07/07/2016,1735,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,55,Car
1281,3771267,417884,443315,3,Leeds 2016,07/07/2016,1735,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,79,Car
1282,3771483,421581,433056,2,Leeds 2016,07/07/2016,1800,B,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,14,Pedal cycle
1283,3780975,428111,432804,2,Leeds 2016,08/07/2016,1534,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,36,Pedal cycle
1284,3781157,436822,435918,1,Leeds 2016,08/07/2016,1720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,5,Car
1285,3781218,429134,432089,1,Leeds 2016,08/07/2016,1750,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,13,Car
1286,3781557,428010,429037,2,Leeds 2016,08/07/2016,2030,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,26,Car
1287,3791808,430082,432334,1,Leeds 2016,14/07/2016,130,A,Dry,Darkness: street lights present and lit,Unknown,Vehicle or pillion passenger,Slight,Female,22,Taxi/Private hire car
1288,3791948,428569,429799,1,Leeds 2016,09/07/2016,2347,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,39,Motorcycle over 50cc and up to 125cc
1289,37A0567,436167,427605,4,Leeds 2016,10/07/2016,955,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,52,Car
1290,37A0567,436167,427605,4,Leeds 2016,10/07/2016,955,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,75,Pedal cycle
1291,37A0567,436167,427605,4,Leeds 2016,10/07/2016,955,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,68,Pedal cycle
1292,37A0567,436167,427605,4,Leeds 2016,10/07/2016,955,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,74,Pedal cycle
1293,37A0666,431247,445731,2,Leeds 2016,10/07/2016,1015,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,28,Pedal cycle
1294,37A0763,439119,439232,3,Leeds 2016,10/07/2016,1210,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,32,Car
1295,37A0763,439119,439232,3,Leeds 2016,10/07/2016,1210,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,56,Car
1296,37A0941,432348,437010,1,Leeds 2016,10/07/2016,1412,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,22,Car
1297,37A1233,430005,435549,2,Leeds 2016,10/07/2016,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,19,Motorcycle over 50cc and up to 125cc
1298,37A1580,429681,426415,2,Leeds 2016,10/07/2016,1945,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,25,Car
1299,37A1580,429681,426415,2,Leeds 2016,10/07/2016,1945,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,30,Car
1300,37B1054,427466,433288,1,Leeds 2016,11/07/2016,1730,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,10,Motorcycle over 50cc and up to 125cc
1301,37B1179,419585,441577,2,Leeds 2016,11/07/2016,1705,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,28,Car
1302,37B1179,419585,441577,2,Leeds 2016,11/07/2016,1705,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,27,Car
1303,37B1764,432749,439977,2,Leeds 2016,11/07/2016,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,11,Pedal cycle
1304,37C0460,420645,446725,1,Leeds 2016,25/06/2016,1600,B,Wet / Damp,Daylight: street lights present,Other,Driver or rider,Slight,Female,51,Car
1305,37C0460,420645,446725,1,Leeds 2016,25/06/2016,1600,B,Wet / Damp,Daylight: street lights present,Other,Vehicle or pillion passenger,Slight,Female,15,Car
1306,37C1249,435165,438764,2,Leeds 2016,12/07/2016,1720,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,44,Pedal cycle
1307,37D0249,423323,434982,2,Leeds 2016,12/07/2016,1815,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,34,Pedal cycle
1308,37D0257,427705,432602,2,Leeds 2016,13/07/2016,739,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,26,Pedal cycle
1309,37D0580,430894,436566,2,Leeds 2016,13/07/2016,1140,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,48,Taxi/Private hire car
1310,37D0580,430894,436566,2,Leeds 2016,13/07/2016,1140,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,35,Car
1311,37D0580,430894,436566,2,Leeds 2016,13/07/2016,1140,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,18,Car
1312,37D0926,428759,430848,1,Leeds 2016,13/07/2016,1453,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,77,Bus or coach (17 or more passenger seats)
1313,37D1294,426648,437199,2,Leeds 2016,13/07/2016,1745,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,14,Car
1314,37D1294,426648,437199,2,Leeds 2016,13/07/2016,1745,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,56,Car
1315,37D1428,428497,433110,2,Leeds 2016,13/07/2016,1850,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,57,Motorcycle over 500cc
1316,37D1634,427998,433602,1,Leeds 2016,13/07/2016,2102,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,74,Car
1317,37D1634,427998,433602,1,Leeds 2016,13/07/2016,2102,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,77,Car
1318,37D1716,430956,434429,2,Leeds 2016,13/07/2016,2153,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,39,Motorcycle over 500cc
1319,37E0280,429138,435250,2,Leeds 2016,14/07/2016,800,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,39,Motorcycle over 500cc
1320,37E0310,425577,426912,2,Leeds 2016,14/07/2016,825,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,21,Car
1321,37E0392,430816,438823,1,Leeds 2016,14/07/2016,935,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,72,Car
1322,37E0436,427300,433624,1,Leeds 2016,14/07/2016,1000,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,65,Car
1323,37E0436,427300,433624,1,Leeds 2016,14/07/2016,1000,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,30,Car
1324,37E0791,440913,433755,2,Leeds 2016,14/07/2016,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,51,Motorcycle over 50cc and up to 125cc
1325,37F0307,432776,440432,1,Leeds 2016,15/07/2016,844,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Female,44,Car
1326,37F0372,427121,439291,2,Leeds 2016,15/07/2016,930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Female,95,Car
1327,37F0643,424748,428788,1,Leeds 2016,15/07/2016,1215,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,74,Car
1328,37F1210,433985,435116,2,Leeds 2016,15/07/2016,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,13,Pedal cycle
1329,37F1378,436097,435599,3,Leeds 2016,15/07/2016,1630,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,17,Car
1330,37F1378,436097,435599,3,Leeds 2016,15/07/2016,1630,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,17,Car
1331,37F1996,427884,430471,1,Leeds 2016,15/07/2016,2325,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,63,Taxi/Private hire car
1332,37G0113,422938,435923,2,Leeds 2016,16/07/2016,55,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,59,Taxi/Private hire car
1333,37G0543,428108,431150,2,Leeds 2016,14/07/2016,915,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,27,Car
1334,37G0757,433911,434094,2,Leeds 2016,16/07/2016,1015,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,23,Goods vehicle 3.5 tonnes mgw and under
1335,37G0944,418045,444559,2,Leeds 2016,16/07/2016,1221,A,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Female,22,Goods vehicle 3.5 tonnes mgw and under
1336,37G1431,431190,431851,1,Leeds 2016,16/07/2016,1815,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,8,Car
1337,37G1440,426344,428465,1,Leeds 2016,16/07/2016,1815,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,16,Car
1338,37G1905,433535,434439,3,Leeds 2016,16/07/2016,2144,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,32,Car
1339,37H0582,428911,429902,1,Leeds 2016,17/07/2016,915,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,21,Car
1340,37H0648,443576,438006,2,Leeds 2016,17/07/2016,1017,A(M),Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,19,Car
1341,37H0789,428912,431814,2,Leeds 2016,17/07/2016,1214,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,27,Pedal cycle
1342,37H1008,430841,435054,2,Leeds 2016,17/07/2016,1421,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,62,Taxi/Private hire car
1343,37H1008,430841,435054,2,Leeds 2016,17/07/2016,1421,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,46,Car
1344,37H1010,430214,432919,2,Leeds 2016,17/07/2016,1418,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,27,Pedal cycle
1345,37H1476,429103,426407,2,Leeds 2016,17/07/2016,1755,Motorway,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,10,Car
1346,37H2053,431485,435119,1,Leeds 2016,17/07/2016,2210,A,Dry,Darkness: street lighting unknown,Unknown,Pedestrian,Slight,Male,54,Car
1347,37I0341,429684,432711,2,Leeds 2016,18/07/2016,845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,30,Pedal cycle
1348,37I0717,435643,437442,2,Leeds 2016,18/07/2016,1235,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,30,Car
1349,37I0717,435643,437442,2,Leeds 2016,18/07/2016,1235,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,26,Car
1350,37I0717,435643,437442,2,Leeds 2016,18/07/2016,1235,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,43,Car
1351,37I0734,430729,433498,1,Leeds 2016,18/07/2016,1105,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,86,Bus or coach (17 or more passenger seats)
1352,37I0750,437289,425739,2,Leeds 2016,18/07/2016,1250,Motorway,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,20,Goods vehicle 7.5 tonnes mgw and over
1353,37I0790,430371,433422,1,Leeds 2016,18/07/2016,930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,87,Bus or coach (17 or more passenger seats)
1354,37I0812,431347,430155,2,Leeds 2016,18/07/2016,1300,Unclassified,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,19,Car
1355,37I1115,436095,425920,2,Leeds 2016,18/07/2016,1552,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,31,Car
1356,37I1278,420518,433922,2,Leeds 2016,18/07/2016,1650,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,9,Pedal cycle
1357,37I1355,429414,435419,1,Leeds 2016,18/07/2016,1736,Unclassified,Dry,Daylight: street lights present,Unknown,Pedestrian,Slight,Female,13,Car
1358,37I1719,445252,427977,2,Leeds 2016,18/07/2016,2000,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,28,Motorcycle over 125cc and up to 500cc
1359,37I1719,445252,427977,2,Leeds 2016,18/07/2016,2000,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,21,Motorcycle over 125cc and up to 500cc
1360,37I1756,425184,434351,2,Leeds 2016,18/07/2016,2028,A,Dry,Darkness: street lighting unknown,Unknown,Vehicle or pillion passenger,Slight,Female,19,Car
1361,37J0363,424193,434801,2,Leeds 2016,19/07/2016,830,Unclassified,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Female,22,Car
1362,37J0373,429513,434863,2,Leeds 2016,19/07/2016,720,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,26,Bus or coach (17 or more passenger seats)
1363,37J0373,429513,434863,2,Leeds 2016,19/07/2016,720,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,2,Bus or coach (17 or more passenger seats)
1364,37J0445,429867,434398,3,Leeds 2016,19/07/2016,920,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,28,Taxi/Private hire car
1365,37J0552,429576,434758,1,Leeds 2016,14/07/2016,910,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,48,Bus or coach (17 or more passenger seats)
1366,37J0850,430797,436691,2,Leeds 2016,19/07/2016,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,42,Car
1367,37J1504,431922,436777,2,Leeds 2016,02/08/2016,1750,Unclassified,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Female,52,Car
1368,37J1550,434551,436870,3,Leeds 2016,19/07/2016,1809,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,22,Car
1369,37J1550,434551,436870,3,Leeds 2016,19/07/2016,1809,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,22,Car
1370,37J2096,429586,432073,2,Leeds 2016,19/07/2016,2215,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,34,Taxi/Private hire car
1371,37J2096,429586,432073,2,Leeds 2016,19/07/2016,2215,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,38,Taxi/Private hire car
1372,37J2096,429586,432073,2,Leeds 2016,19/07/2016,2215,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,22,Car
1373,37J2096,429586,432073,2,Leeds 2016,19/07/2016,2215,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,23,Car
1374,37J2096,429586,432073,2,Leeds 2016,19/07/2016,2215,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,22,Car
1375,37J2096,429586,432073,2,Leeds 2016,19/07/2016,2215,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,24,Car
1376,37K0356,422737,437815,2,Leeds 2016,20/07/2016,747,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,37,Pedal cycle
1377,37K0371,428717,435614,2,Leeds 2016,20/07/2016,803,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,25,Pedal cycle
1378,37K0447,428906,435515,2,Leeds 2016,20/07/2016,900,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,25,Pedal cycle
1379,37K0846,432064,431134,2,Leeds 2016,20/07/2016,1245,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Serious,Male,85,Bus or coach (17 or more passenger seats)
1380,37K1091,435022,427788,2,Leeds 2016,20/07/2016,1450,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,14,Pedal cycle
1381,37K1113,432479,436554,2,Leeds 2016,20/07/2016,1500,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,38,Car
1382,37K1616,429056,433503,1,Leeds 2016,20/07/2016,1750,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,42,Bus or coach (17 or more passenger seats)
1383,37K1727,424816,434991,2,Leeds 2016,20/07/2016,1845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,41,Car
1384,37L0094,430272,427666,2,Leeds 2016,21/07/2016,121,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Serious,Male,26,Car
1385,37L0346,436586,436187,2,Leeds 2016,21/07/2016,819,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,6,Car
1386,37L0562,433671,432294,1,Leeds 2016,21/07/2016,1044,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,33,Car
1387,37L0747,439410,446133,1,Leeds 2016,21/07/2016,1225,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,29,Car
1388,37L0904,440511,448481,1,Leeds 2016,21/07/2016,1344,B,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,37,Car
1389,37L0956,430689,432976,2,Leeds 2016,21/07/2016,1405,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,19,Car
1390,37L1042,422298,440478,2,Leeds 2016,21/07/2016,1520,C,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,31,Car
1391,37L1042,422298,440478,2,Leeds 2016,21/07/2016,1520,C,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,30,Car
1392,37L1042,422298,440478,2,Leeds 2016,21/07/2016,1520,C,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,3,Goods vehicle 3.5 tonnes mgw and under
1393,37L1135,425828,438092,1,Leeds 2016,21/07/2016,1520,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,13,Car
1394,37L1553,427991,436016,3,Leeds 2016,21/07/2016,1856,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,21,Pedal cycle
1395,37L1614,421040,444980,1,Leeds 2016,21/07/2016,1924,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,72,Car
1396,37L1626,430190,432168,2,Leeds 2016,21/07/2016,1910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,37,Car
1397,37L1626,430190,432168,2,Leeds 2016,21/07/2016,1910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,26,Car
1398,37M0362,419578,446223,2,Leeds 2016,22/07/2016,807,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,49,Pedal cycle
1399,37M1214,431297,429059,2,Leeds 2016,22/07/2016,1605,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,24,Pedal cycle
1400,37M1470,430046,432671,2,Leeds 2016,22/07/2016,1812,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,26,Motorcycle over 50cc and up to 125cc
1401,37N0042,420665,434351,3,Leeds 2016,23/07/2016,14,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,24,Car
1402,37N0042,420665,434351,3,Leeds 2016,23/07/2016,14,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,25,Car
1403,37N0042,420665,434351,3,Leeds 2016,23/07/2016,14,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,29,Car
1404,37N0626,426100,437038,1,Leeds 2016,23/07/2016,50,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,57,Taxi/Private hire car
1405,37N1563,431985,435541,2,Leeds 2016,23/07/2016,1820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,31,Pedal cycle
1406,37N1854,428727,431524,2,Leeds 2016,23/07/2016,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,20,Motorcycle over 50cc and up to 125cc
1407,37N1916,420055,435412,2,Leeds 2016,23/07/2016,2005,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,15,Pedal cycle
1408,37O0142,442979,431640,1,Leeds 2016,24/07/2016,100,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,87,Car
1409,37O0620,430680,432578,2,Leeds 2016,23/07/2016,1900,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,74,Car
1410,37O0753,429853,431858,2,Leeds 2016,24/07/2016,1123,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,14,Pedal cycle
1411,37O1315,430296,433400,1,Leeds 2016,24/07/2016,400,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,25,Taxi/Private hire car
1412,37O1422,435881,436334,2,Leeds 2016,24/07/2016,1330,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,34,Car
1413,37O1422,435881,436334,2,Leeds 2016,24/07/2016,1330,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,9,Car
1414,37O1422,435881,436334,2,Leeds 2016,24/07/2016,1330,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,7,Car
1415,37P0341,426656,432018,2,Leeds 2016,25/07/2016,800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,13,Pedal cycle
1416,37P0744,421278,434457,3,Leeds 2016,25/07/2016,1318,B,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,53,Car
1417,37P0949,430007,427028,2,Leeds 2016,25/07/2016,1420,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,75,Car
1418,37P0949,430007,427028,2,Leeds 2016,25/07/2016,1420,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Serious,Female,70,Car
1419,37P0949,430007,427028,2,Leeds 2016,25/07/2016,1420,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,5,Car
1420,37P0967,421292,440468,2,Leeds 2016,25/07/2016,1434,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,11,Pedal cycle
1421,37P1061,430359,437050,1,Leeds 2016,25/07/2016,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,80,Car
1422,37P1155,422521,441543,1,Leeds 2016,25/07/2016,1556,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,45,Taxi/Private hire car
1423,37P1299,425880,426577,3,Leeds 2016,25/07/2016,1712,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,40,Car
1424,37P1299,425880,426577,3,Leeds 2016,25/07/2016,1712,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,22,Car
1425,37P1354,435900,436430,2,Leeds 2016,25/07/2016,1655,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,32,Car
1426,37P1415,431175,431868,1,Leeds 2016,25/07/2016,1645,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,20,Car
1427,37P1776,434142,433900,3,Leeds 2016,25/07/2016,2109,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,45,Car
1428,37Q0592,431445,435823,2,Leeds 2016,26/07/2016,1113,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,39,Goods vehicle 3.5 tonnes mgw and under
1429,37Q1453,434693,428333,4,Leeds 2016,26/07/2016,1845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,32,Car
1430,37Q1453,434693,428333,4,Leeds 2016,26/07/2016,1845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,22,Car
1431,37Q1453,434693,428333,4,Leeds 2016,26/07/2016,1845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,25,Car
1432,37Q1453,434693,428333,4,Leeds 2016,26/07/2016,1845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,5,Car
1433,37Q1453,434693,428333,4,Leeds 2016,26/07/2016,1845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,2,Car
1434,37Q1662,431507,435134,2,Leeds 2016,26/07/2016,2025,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,22,Car
